GroupId,GroupName,Preference,Id,Product,Amount,Measure,Energie,FatTotal,Protein,CarbsTotal,Sugar,Starch,Fibre,Water,PUFA3,K,CA,P,MG,FE,CU,SE,ZN,IOD,VITA,VITC,VITD,VITE,VITK,VITB6,VITB12,FIBWAT,FIBFAT,FATPROT
14,Kruiden en specerijen,,1230,Peterselie gedroogd,100,g,309,4,22,41,0,41,10.3,9,0.1,3805,1468,351,,97.9,,,,,0,122,0,,1359.5,1,0,19.3,14.3,26
14,Kruiden en specerijen,,1220,Basilicum gedroogd,100,g,244,4.1,23,10.1,1.7,8.3,37.7,10.4,,2630,2240,274,711,89.8,2.1,3,7.1,,0,1,0,10.8,1714.5,1.34,0,48.1,41.8,27.1
14,Kruiden en specerijen,,1226,Majoraan gedroogd,100,g,319,7,13,42,0,42,18.1,8,,1522,1990,306,,82.7,,,,,0,51,0,,621.7,,0,26.1,25.1,20
14,Kruiden en specerijen,,827,Komijnzaad gedroogd,100,g,427,22,18,34,0,34,10.5,18,,1788,931,499,370,66.4,1.29,,4.2,,0,8,0,,5.4,,0,28.5,32.5,40
14,Kruiden en specerijen,,1228,Oregano gedroogd,100,g,360,10,11,49,0,49,15,7,,1669,1576,200,,44,,,,,0,,0,,621.7,,0,22,25,21
14,Kruiden en specerijen,,826,Kaneel,100,g,316,3,4,56,0,56,24.4,10,,500,1228,60,61,38.1,0.46,15,1.97,,0,28,0,,31.2,0,0,34.4,27.4,7
23,Vetten en oliën,,3342,Bak- en braadvet Vita d'Or Vlees&jus vloeibaar,100,g,878,97,0.3,0.9,0.9,0,0,1.8,6.3,42,10,23,2,0.1,0,0,0,1.5,690,0,6.5,81.9,,0,0,1.8,97,97.3
14,Kruiden en specerijen,,5156,Anijszaad,100,g,384,15.9,17.6,35.4,31.5,3.9,14.6,9.5,,1441,646,440,170,37,0.91,5,5.3,,0,21,0,,,0.65,0,24.1,30.5,33.5
8,Graanproducten en bindmiddelen,,2005,Ontbijtproduct Special K Original Kellogg's,100,g,375,1.5,9,79,17,62,4.5,6,0,220,60,170,40,11.6,,,8.4,2.4,0,134,0,,0.2,2.3,4.2,10.5,6,10.5
14,Kruiden en specerijen,,1224,Kervel gedroogd,100,g,303,4,23,38,0,38,11.3,7,,4740,1346,450,,32,,,,,0,,0,,,1.23,0,18.3,15.3,27
14,Kruiden en specerijen,,1223,Kerrie djawa,100,g,370,14,12,36.5,0,36.5,25,12.5,,1260,530,,,29.6,,,,,,,0,,99.8,,0,37.5,39,26
14,Kruiden en specerijen,,1231,Rozemarijn gedroogd,100,g,374,15,5,46,0,46,17.6,9,,955,1280,70,,29.2,,,,,0,61,0,,,,0,26.6,32.6,20
23,Vetten en oliën,,3339,Margarine vloeibaar 80% vet Vita d'Or Bewust,100,g,734,81.5,0,0,0,0,0,18.5,6.7,42,10,23,2,0.1,0,0,0,1.5,696,0,7.5,76.1,,0,0,18.5,81.5,81.5
14,Kruiden en specerijen,,1229,Paprikapoeder,100,g,359,13,15,35,0,35,20.9,10,,2344,177,345,,23.6,,,,,0,71,0,,80.3,,0,30.9,33.9,28
23,Vetten en oliën,,606,Olie Becel Blend Classic,100,g,900,100,0,0,0,0,0,0,6,0,0,0,0,0,,,0,,,0,,62,,0,0,0,100,100
23,Vetten en oliën,,3335,Olie frituur-,100,g,900,100,0,0,0,0,0,0,0.2,0,0,0,0,0,0,2,0,,0,0,0,48.7,5.7,0,0,0,100,100
14,Kruiden en specerijen,,823,Peper zwarte/witte,100,g,332,3,11,52,0,52,26.4,11,,1259,437,173,,21.6,,,,,0,,0,,163.7,,0,37.4,29.4,14
23,Vetten en oliën,,317,Olie zonnebloem-,100,g,897,99.5,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0,2,0,,0,0,0,48.7,5.7,0,0,0,99.5,99.8
23,Vetten en oliën,,607,Olie saffloer-,100,g,900,100,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,,0,0,0,40.7,3.4,0,0,0,100,100
23,Vetten en oliën,,2295,Boterproduct 25% vet,100,g,228,25,0.2,0.3,0.3,0,0.7,73.5,0.2,32,11,40,1,0.1,0.01,1,0,,780,0,1.1,40,,0,0.3,74.2,25.7,25.2
16,Niet-alcoholische dranken,,497,Siroop Roosvicee Original,100,g,185,0,0.3,45.6,44.8,0.8,0.6,53.6,0,63,8,6,5,0.3,0.04,0,0.05,,0,96,0,6.5,,0,0,54.2,0.6,0.3
6,Fruit,1,690,Guave (met roze vruchtvlees),100,g,75,1,2.6,10.9,8.9,2,5.3,80.8,0.1,417,18,40,22,0.3,0.23,1,0.23,,0,228,0,,2.6,0.11,0,86.1,6.3,3.6
14,Kruiden en specerijen,,1221,Chilipoeder,100,g,373,17,12,32,0,32,22,8,,1916,278,303,,14.2,,,,,0,64,0,,105.7,0,0,30,39,29
23,Vetten en oliën,,2558,Margarine vlb 80% vet< 17 g verz vetz ongezouten,100,g,738,82,0,0.1,0.1,0,0,18,4.2,42,10,23,2,0.1,0,0,0,1.5,800,0,7.5,37.3,,0,0,18,82,82
23,Vetten en oliën,,2563,Bak- en braadvet vast 97% vet > 17g verz vetz ongezouten,100,g,880,97.3,0.4,0.7,0.7,0,0,1.6,3.8,42,10,23,2,0.1,0,0,0,1.5,800,0,7.5,34.6,,0,0,1.6,97.3,97.7
23,Vetten en oliën,,2565,Margarine 80% vet < 24 g verz vetz ongezouten,100,g,720,80,0,0,0,0,0,20,4.2,42,10,23,2,0.1,0,0,0,1.5,800,0,7.5,33,,0,0,20,80,80
16,Niet-alcoholische dranken,,2291,Diksap m vit C geconcentreerd,100,g,180,0.1,0.2,44.6,43.2,1.4,0.1,55,0,661,48,,31,,,,,,0,80,0,,,,0,55.1,0.2,0.3
19,Flesvoeding en preparaten,,2027,Sportvoeding Isostar Powertabs,100,g,320,0,0,79.9,70.5,9.4,0,20.1,0,375,360,70,156,0,0,0,0,,0,80,0,12.5,0,0,0,20.1,0,0
